company_id,type,text,confidence_pct
ABB,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
ADANIENSOL,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
ADANIENT,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
ADANIGREEN,CON,High leverage: Debt to Equity > 2.0x,90.0
ADANIGREEN,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
ADANIPORTS,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
ADANIPOWER,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
AMBUJACEM,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
APOLLOHOSP,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
ASIANPAINT,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
ATGL,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
AXISBANK,PRO,Strong 5-year net profit growth (> 15% CAGR),90.0
AXISBANK,PRO,High net profit margin (> 15%) indicating pricing power,90.0
AXISBANK,PRO,Consistent EPS growth (> 12% CAGR),90.0
AXISBANK,CON,High leverage: Debt to Equity > 2.0x,90.0
AXISBANK,CON,Accrual risk: Cash from Operations is less than 50% of Net Profit,90.0
AXISBANK,CON,Poor cash conversion: FCF/EBITDA < 30%,90.0
AXISBANK,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
AXISBANK,CON,Distress cash flow pattern: operating cash burn funded by financing inflows,90.0
BAJAJ-AUTO,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
BAJAJFINSV,CON,High leverage: Debt to Equity > 2.0x,90.0
BAJAJFINSV,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
BAJAJHLDNG,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
BAJFINANCE,CON,High leverage: Debt to Equity > 2.0x,90.0
BAJFINANCE,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
BANKBARODA,PRO,Strong 5-year revenue growth (> 15% CAGR),90.0
BANKBARODA,PRO,Strong 5-year net profit growth (> 15% CAGR),90.0
BANKBARODA,PRO,High net profit margin (> 15%) indicating pricing power,90.0
BANKBARODA,PRO,Consistent EPS growth (> 12% CAGR),90.0
BANKBARODA,CON,High leverage: Debt to Equity > 2.0x,90.0
BANKBARODA,CON,Accrual risk: Cash from Operations is less than 50% of Net Profit,90.0
BANKBARODA,CON,Operating profit margins are on a declining trend YoY,90.0
BANKBARODA,CON,Poor cash conversion: FCF/EBITDA < 30%,90.0
BANKBARODA,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
BANKBARODA,CON,Distress cash flow pattern: operating cash burn funded by financing inflows,90.0
BEL,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
BHARTIARTL,CON,High leverage: Debt to Equity > 2.0x,90.0
BHARTIARTL,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
BHEL,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
BOSCHLTD,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
BPCL,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
BRITANNIA,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
CANBK,PRO,Strong 5-year revenue growth (> 15% CAGR),90.0
CANBK,PRO,Strong 5-year net profit growth (> 15% CAGR),90.0
CANBK,PRO,Generous shareholder returns: returning cash to shareholders via dividends/buybacks,90.0
CANBK,PRO,Consistent EPS growth (> 12% CAGR),90.0
CANBK,CON,High leverage: Debt to Equity > 2.0x,90.0
CANBK,CON,Operating profit margins are on a declining trend YoY,90.0
CANBK,CON,Poor cash conversion: FCF/EBITDA < 30%,90.0
CANBK,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
CHOLAFIN,CON,High leverage: Debt to Equity > 2.0x,90.0
CHOLAFIN,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
CIPLA,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
COALINDIA,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
DABUR,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
DIVISLAB,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
DLF,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
DMART,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
DRREDDY,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
EICHERMOT,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
GAIL,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
GODREJCP,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
GRASIM,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
HAL,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
HAVELLS,CON,"Low asset turnover (< 0.5x), indicating poor asset utilisation efficiency",90.0
